項次,器材內容,數量,器材編號,未稅單價
,Feel World F6 Plus（含怪手、遮光罩）,1,,200
,Teris TCE-CF Plus腳架,1,,400
,Smallrig 基本組肩架,1,,200
,TILTA MB-T15 夾式遮光斗  (含各口徑轉接環）,1,,200
,STC 82mm可變ND (2-1024)(含各口徑轉接環）,1,,200
,TIFFEN 82mm BPM 1/4,1,,200
